Marque,Modele,Annee,Prix,Kilometrage,Boite_vitesse,Region
Renault,17,2000,6000000.0,160000.0,Manuelle,Dakar
Mazda,2,2008,1100000.0,140000.0,Manuelle,Dakar
Peugeot,307,2007,2200000.0,160000.0,Manuelle,Dakar
Hyundai,Sonata,2006,2000000.0,140000.0,Automatique,Dakar
Peugeot,406,2006,2500000.0,160000.0,Manuelle,Dakar
Hyundai,Tucson,2010,4200000.0,79044.0,Manuelle,Dakar
Mercedes‒Benz,190,1989,1900000.0,160000.0,Manuelle,Dakar
Chrysler,Sebring,2009,2000000.0,99000.0,Automatique,Dakar
Toyota,Camry,2010,4500000.0,110000.0,Automatique,Dakar
Skoda,Octavia,2010,2600000.0,160000.0,Manuelle,Dakar
Hyundai,Sonata,2013,5200000.0,92000.0,Automatique,Dahra
Toyota,Corolla,2010,3500000.0,88997.0,Manuelle,Dakar
Peugeot,308,2009,2600000.0,120000.0,Manuelle,Dakar
Toyota,Avensis,2008,2500000.0,160000.0,Manuelle,Dakar
Toyota,Corolla,2007,4300000.0,235000.0,Manuelle,Dakar
Volkswagen,Golf,2005,2200000.0,180000.0,Manuelle,Dakar
Renault,21,2002,2200000.0,160000.0,Manuelle,Dakar
Toyota,Avensis,2006,1600000.0,186000.0,Manuelle,Dakar
Toyota,Verso,2007,2500000.0,313000.0,Manuelle,Dakar
Renault,Safrane,2007,2200000.0,160000.0,Manuelle,Dakar
Renault,Scenic,2008,2000000.0,130000.0,Manuelle,Dakar
Chery,A113,2008,1700000.0,79000.0,Manuelle,Dakar
Renault,Clio,2007,1750000.0,120000.0,Manuelle,Dakar
Renault,Megane,2009,3300000.0,233200.0,Manuelle,Dakar
Peugeot,508,2012,4700000.0,102220.0,Manuelle,Dakar
Citroen,C4,2007,2200000.0,160000.0,Manuelle,Dakar
Peugeot,308,2008,2800000.0,160000.0,Manuelle,Dakar
Toyota,Yaris,2007,2700000.0,180000.0,Manuelle,Dakar
Nissan,Juke,2011,5500000.0,157000.0,Manuelle,Dakar
Ford,Focus,2007,2700000.0,100000.0,Automatique,Dakar
Toyota,Corolla,2010,3200000.0,90000.0,Manuelle,Dakar
Mercedes‒Benz,190,2007,2900000.0,160000.0,Automatique,Dakar
Nissan,Rogue,2010,8500000.0,84500.0,Automatique,Dakar
Hyundai,Santa Fe,2005,3500000.0,300000.0,Manuelle,Dakar
Ford,Focus,2015,5800000.0,29000.0,Automatique,Dakar
Peugeot,807,2010,4800000.0,160000.0,Manuelle,Dakar
Peugeot,407,2007,2000000.0,110000.0,Manuelle,Dakar
Peugeot,205,2000,1500000.0,160000.0,Manuelle,Dakar
Toyota,RAV4,2007,4000000.0,145000.0,Manuelle,Dakar
Peugeot,307,2008,2000000.0,120000.0,Manuelle,Dakar
Renault,Scenic,2006,2200000.0,140000.0,Manuelle,Dakar
Nissan,Teana,2011,8000000.0,90000.0,Manuelle,Dakar
Dacia,Sandero,2010,2200000.0,160000.0,Manuelle,Dakar
Lada,Niva,2008,1500000.0,160000.0,Manuelle,Dakar
Dacia,Logan,2009,2800000.0,500000.0,Manuelle,Dakar
Peugeot,406,2003,2400000.0,160000.0,Manuelle,Dakar
Jeep,Patriot,2015,9500000.0,51200.0,Automatique,Dakar
Renault,Scenic,2008,2200000.0,16000.0,Manuelle,Dakar
Ford,Escape,2011,5800000.0,0.0,Automatique,Dakar
Toyota,RAV4,2007,5200000.0,120000.0,Manuelle,Dakar
Hyundai,Tucson,2006,4000000.0,298000.0,Manuelle,Dakar
Citroen,C3,2007,2400000.0,180000.0,Manuelle,Dakar
Peugeot,205,2000,1400000.0,160000.0,Manuelle,Dakar
Peugeot,307,2005,2100000.0,160000.0,Manuelle,Dakar
Jeep,Wrangler,2013,20000000.0,100000.0,Automatique,Dakar
Peugeot,406,2004,2700000.0,120000.0,Manuelle,Dakar
Renault,19,1989,1500000.0,140000.0,Manuelle,Dakar
Toyota,RAV4,2010,9600000.0,180000.0,Automatique,Dakar
Peugeot,308,2008,2700000.0,160000.0,Manuelle,Dakar
Peugeot,405,2005,1900000.0,120000.0,Manuelle,Dakar
Peugeot,308,2010,2900000.0,120000.0,Manuelle,Dakar
Nissan,200SX,2006,1600000.0,180000.0,Manuelle,Dakar
Mitsubishi,L200,2011,6000000.0,120000.0,Manuelle,Dakar
Citroen,Berlingo,2006,2400000.0,180000.0,Manuelle,Dakar
Peugeot,305,2004,1600000.0,128000.0,Manuelle,Dakar
Renault,Megane,2007,2700000.0,180000.0,Manuelle,Dakar
Ford,Focus ST,2012,3300000.0,140000.0,Automatique,Dakar
Ford,Escape,2014,8200000.0,105000.0,Manuelle,Dakar
Citroen,Xsara,2006,1800000.0,160000.0,Manuelle,Dakar
Peugeot,308,2012,3900000.0,160000.0,Manuelle,Dakar
Citroen,C4,2008,2100000.0,90925.0,Manuelle,Dakar
Renault,Megane,2008,1850000.0,120000.0,Manuelle,Dakar
Dacia,Logan,2008,2600000.0,137000.0,Manuelle,Dakar
Peugeot,307,2007,2100000.0,175598.0,Manuelle,Dakar
Toyota,RAV4,2006,3500000.0,140000.0,Manuelle,Dakar
Fiat,Stilo,2007,2700000.0,160000.0,Manuelle,Dakar
Audi,S3,2007,2000000.0,120000.0,Manuelle,Dakar
